n_steps,i_episode,finished,return,ground_truth,trial_id,actions,rewards,sim_policy,sim_experiment_setting,sim_cost_function,sim_bmps_file,sim_parameter_file,sim_num_trials,sim_seed,sim_back_added_cost,sim_forw_added_cost,sim_distance_multiplier,sim_depth_cost_weight,sim_given_cost,sim_kappa,sim_gamma,pid
3,0,True,47.0,"[0.0, -2.0, 8.0, -24.0, 48.0, 2.0, -4.0, 48.0, 24.0, -2.0, 8.0, -24.0, -24.0]",753059734345716889,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
3,0,True,47.0,"[0.0, -2.0, 8.0, -24.0, 48.0, 2.0, -4.0, 48.0, 24.0, -2.0, 8.0, -24.0, -24.0]",753059734345716889,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,1,True,44.0,"[0.0, -2.0, 8.0, 48.0, 24.0, -2.0, 4.0, -48.0, 48.0, 4.0, -8.0, -48.0, -48.0]",-7383638292178567401,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,1,True,44.0,"[0.0, -2.0, 8.0, 48.0, 24.0, -2.0, 4.0, -48.0, 48.0, 4.0, -8.0, -48.0, -48.0]",-7383638292178567401,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,1,True,44.0,"[0.0, -2.0, 8.0, 48.0, 24.0, -2.0, 4.0, -48.0, 48.0, 4.0, -8.0, -48.0, -48.0]",-7383638292178567401,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,1,True,44.0,"[0.0, -2.0, 8.0, 48.0, 24.0, -2.0, 4.0, -48.0, 48.0, 4.0, -8.0, -48.0, -48.0]",-7383638292178567401,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,1,True,44.0,"[0.0, -2.0, 8.0, 48.0, 24.0, -2.0, 4.0, -48.0, 48.0, 4.0, -8.0, -48.0, -48.0]",-7383638292178567401,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,2,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,2,True,17.0,"[0.0, -2.0, -8.0, 24.0, 24.0, 2.0, -4.0, 24.0, -48.0, -2.0, -4.0, -24.0, -48.0]",7037128295931229090,13,24.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,3,True,46.0,"[0.0, -4.0, -4.0, 24.0, -24.0, -4.0, 4.0, 24.0, 24.0, 4.0, 4.0, 48.0, -48.0]",-7890144164692454837,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,3,True,46.0,"[0.0, -4.0, -4.0, 24.0, -24.0, -4.0, 4.0, 24.0, 24.0, 4.0, 4.0, 48.0, -48.0]",-7890144164692454837,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,3,True,46.0,"[0.0, -4.0, -4.0, 24.0, -24.0, -4.0, 4.0, 24.0, 24.0, 4.0, 4.0, 48.0, -48.0]",-7890144164692454837,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
3,4,True,47.0,"[0.0, -2.0, -4.0, 48.0, 24.0, -2.0, -4.0, -48.0, -24.0, -4.0, -4.0, 24.0, 48.0]",-3177342720159175553,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
3,4,True,47.0,"[0.0, -2.0, -4.0, 48.0, 24.0, -2.0, -4.0, -48.0, -24.0, -4.0, -4.0, 24.0, 48.0]",-3177342720159175553,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
8,5,True,42.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
8,5,True,42.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
8,5,True,42.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
8,5,True,42.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
8,5,True,42.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
8,5,True,42.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
8,5,True,42.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,6,True,46.0,"[0.0, -2.0, -4.0, 48.0, -24.0, 4.0, -8.0, 48.0, -48.0, 2.0, -8.0, 24.0, -48.0]",-8867212192286323683,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,6,True,46.0,"[0.0, -2.0, -4.0, 48.0, -24.0, 4.0, -8.0, 48.0, -48.0, 2.0, -8.0, 24.0, -48.0]",-8867212192286323683,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,6,True,46.0,"[0.0, -2.0, -4.0, 48.0, -24.0, 4.0, -8.0, 48.0, -48.0, 2.0, -8.0, 24.0, -48.0]",-8867212192286323683,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,7,True,45.0,"[0.0, 4.0, -4.0, -48.0, -48.0, -4.0, 8.0, -48.0, -24.0, 4.0, -4.0, 48.0, -24.0]",-6340653903295125264,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,7,True,45.0,"[0.0, 4.0, -4.0, -48.0, -48.0, -4.0, 8.0, -48.0, -24.0, 4.0, -4.0, 48.0, -24.0]",-6340653903295125264,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,7,True,45.0,"[0.0, 4.0, -4.0, -48.0, -48.0, -4.0, 8.0, -48.0, -24.0, 4.0, -4.0, 48.0, -24.0]",-6340653903295125264,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,7,True,45.0,"[0.0, 4.0, -4.0, -48.0, -48.0, -4.0, 8.0, -48.0, -24.0, 4.0, -4.0, 48.0, -24.0]",-6340653903295125264,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,8,True,45.0,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,8,True,45.0,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,8,True,45.0,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,8,True,45.0,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,9,True,45.0,"[0.0, -4.0, -4.0, -48.0, 24.0, 4.0, 4.0, 48.0, -24.0, 4.0, -4.0, 48.0, 24.0]",1518845473617230857,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,9,True,45.0,"[0.0, -4.0, -4.0, -48.0, 24.0, 4.0, 4.0, 48.0, -24.0, 4.0, -4.0, 48.0, 24.0]",1518845473617230857,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,9,True,45.0,"[0.0, -4.0, -4.0, -48.0, 24.0, 4.0, 4.0, 48.0, -24.0, 4.0, -4.0, 48.0, 24.0]",1518845473617230857,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,9,True,45.0,"[0.0, -4.0, -4.0, -48.0, 24.0, 4.0, 4.0, 48.0, -24.0, 4.0, -4.0, 48.0, 24.0]",1518845473617230857,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
3,10,True,47.0,"[0.0, 2.0, 4.0, -24.0, 48.0, 2.0, -8.0, -24.0, 48.0, 4.0, 4.0, 24.0, 24.0]",-1661671392891629296,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
3,10,True,47.0,"[0.0, 2.0, 4.0, -24.0, 48.0, 2.0, -8.0, -24.0, 48.0, 4.0, 4.0, 24.0, 24.0]",-1661671392891629296,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,11,True,44.0,"[0.0, 4.0, -8.0, -48.0, -24.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, -48.0, -24.0]",6562770673904911116,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,11,True,44.0,"[0.0, 4.0, -8.0, -48.0, -24.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, -48.0, -24.0]",6562770673904911116,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,11,True,44.0,"[0.0, 4.0, -8.0, -48.0, -24.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, -48.0, -24.0]",6562770673904911116,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,11,True,44.0,"[0.0, 4.0, -8.0, -48.0, -24.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, -48.0, -24.0]",6562770673904911116,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
6,11,True,44.0,"[0.0, 4.0, -8.0, -48.0, -24.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, -48.0, -24.0]",6562770673904911116,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,12,True,46.0,"[0.0, 2.0, -8.0, 24.0, 48.0, 4.0, 4.0, 48.0, 48.0, 2.0, -8.0, -48.0, -48.0]",7007154183592665262,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,12,True,46.0,"[0.0, 2.0, -8.0, 24.0, 48.0, 4.0, 4.0, 48.0, 48.0, 2.0, -8.0, -48.0, -48.0]",7007154183592665262,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,12,True,46.0,"[0.0, 2.0, -8.0, 24.0, 48.0, 4.0, 4.0, 48.0, 48.0, 2.0, -8.0, -48.0, -48.0]",7007154183592665262,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,13,True,43.0,"[0.0, -2.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, -24.0, 2.0, -4.0, 24.0, 48.0]",2911385690292515296,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,13,True,43.0,"[0.0, -2.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, -24.0, 2.0, -4.0, 24.0, 48.0]",2911385690292515296,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,13,True,43.0,"[0.0, -2.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, -24.0, 2.0, -4.0, 24.0, 48.0]",2911385690292515296,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,13,True,43.0,"[0.0, -2.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, -24.0, 2.0, -4.0, 24.0, 48.0]",2911385690292515296,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,13,True,43.0,"[0.0, -2.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, -24.0, 2.0, -4.0, 24.0, 48.0]",2911385690292515296,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,13,True,43.0,"[0.0, -2.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, -24.0, 2.0, -4.0, 24.0, 48.0]",2911385690292515296,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,14,True,46.0,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 4.0, -24.0, 48.0, 4.0, -8.0, 24.0, 48.0]",336485828046445828,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,14,True,46.0,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 4.0, -24.0, 48.0, 4.0, -8.0, 24.0, 48.0]",336485828046445828,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
4,14,True,46.0,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 4.0, -24.0, 48.0, 4.0, -8.0, 24.0, 48.0]",336485828046445828,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
3,15,True,47.0,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 8.0, 48.0, 48.0, -2.0, -8.0, -48.0, -24.0]",-832032261454643665,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
3,15,True,47.0,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 8.0, 48.0, 48.0, -2.0, -8.0, -48.0, -24.0]",-832032261454643665,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,2,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,16,True,25.0,"[0.0, -4.0, 8.0, -48.0, 24.0, -2.0, 4.0, -48.0, -48.0, 4.0, 8.0, -24.0, 24.0]",6406480628110734882,13,32.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,17,True,45.0,"[0.0, -2.0, 8.0, 24.0, -48.0, 4.0, 4.0, -48.0, -24.0, 2.0, 8.0, -48.0, 48.0]",5188170829716247168,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,17,True,45.0,"[0.0, -2.0, 8.0, 24.0, -48.0, 4.0, 4.0, -48.0, -24.0, 2.0, 8.0, -48.0, 48.0]",5188170829716247168,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,17,True,45.0,"[0.0, -2.0, 8.0, 24.0, -48.0, 4.0, 4.0, -48.0, -24.0, 2.0, 8.0, -48.0, 48.0]",5188170829716247168,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
5,17,True,45.0,"[0.0, -2.0, 8.0, 24.0, -48.0, 4.0, 4.0, -48.0, -24.0, 2.0, 8.0, -48.0, 48.0]",5188170829716247168,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,12,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,10,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
9,18,True,17.0,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,13,24.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,19,True,43.0,"[0.0, -2.0, 4.0, -48.0, -24.0, -2.0, 4.0, 48.0, -24.0, 4.0, -4.0, 24.0, -48.0]",6475017069789500892,4,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,19,True,43.0,"[0.0, -2.0, 4.0, -48.0, -24.0, -2.0, 4.0, 48.0, -24.0, 4.0, -4.0, 24.0, -48.0]",6475017069789500892,11,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,19,True,43.0,"[0.0, -2.0, 4.0, -48.0, -24.0, -2.0, 4.0, 48.0, -24.0, 4.0, -4.0, 24.0, -48.0]",6475017069789500892,3,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,19,True,43.0,"[0.0, -2.0, 4.0, -48.0, -24.0, -2.0, 4.0, 48.0, -24.0, 4.0, -4.0, 24.0, -48.0]",6475017069789500892,8,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,19,True,43.0,"[0.0, -2.0, 4.0, -48.0, -24.0, -2.0, 4.0, 48.0, -24.0, 4.0, -4.0, 24.0, -48.0]",6475017069789500892,7,-1.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
7,19,True,43.0,"[0.0, -2.0, 4.0, -48.0, -24.0, -2.0, 4.0, 48.0, -24.0, 4.0, -4.0, 24.0, -48.0]",6475017069789500892,13,48.0,OptimalQ,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,no_added_cost,20,91,0,0,0,0,1,1,1,0
